id,page,cluster,cluster_label,stance,strongly_worded,summary,text,x,y
24,3,1,Strong Opposition – Community Character,oppose,True,Absolutely not.,Absolutely not. This is going to create individuals who have the cash to buy single family homes and build a 4-plex or 6- plex and either sell them for high values or rent at high prices to make latge amounts of money. This is a TERRIBLE idea that is only going to line the pockets of those with money without addressing affordable living for those who need it. Also parking is already an issue in most neighbourhoods I can’t imagine what it would be with increased density.,-0.752,0.0574
25,3,5,Support – Housing Affordability & Supply,support,False,Blanket upzoning is good and you should do it.,Blanket upzoning is good and you should do it.,0.6748,-0.0361
26,3,3,Opposition – Infrastructure & Services,oppose,False,Much lower residential street parking fees especially innercity/Beltline.,Much lower residential street parking fees especially innercity/Beltline. Zoning for more basement/secondary suite housing.,-0.0564,0.6099
27,3,4,Conditional / Nuanced,unclear,False,I strongly oppose city wide rezoning.,I strongly oppose city wide rezoning. Rezoning should be limited to certain areas such as near transit hubs and retail hubs.,0.27,0.5303
28,3,3,Opposition – Infrastructure & Services,oppose,False,People have purchased homes in single detached neighborhoods for a reason.,"People have purchased homes in single detached neighborhoods for a reason. They should not be forced to be faced with a constant threat of having 3 storey multi unit buildings built next to them. The lack of parking, constant turnover of rental occupants and lack of light and privacy caused by this rezoning will ruin many residents enjoyment of their homes.",-0.0983,0.4181
29,3,5,Support – Housing Affordability & Supply,support,False,Housing is a right and not just for the rich or well-off.,Housing is a right and not just for the rich or well-off. It’s sad to feel like I can only rent in a neighbourhood but never buy (Banff Trail). Housing needs to be more affordable so please do all you can to make more houses and make them accessible to all.,0.7422,0.2206
30,3,1,Strong Opposition – Community Character,oppose,False,What about the people in the single family neighborhoods that worked hard to be there.,What about the people in the single family neighborhoods that worked hard to be there. They want that lifestyle,-0.5893,0.1003
31,4,1,Strong Opposition – Community Character,oppose,False,"So gov,ts come along and say sorry, we are now changing this.","So gov,ts come along and say sorry, we are now changing this. And a four Plex goes up next door? You did not choose this. It is taller, it shades your property and has many people now coming and going. Is this fair to the people already living in these neighborhoods?",-0.4788,-0.0113
32,4,1,Strong Opposition – Community Character,oppose,False,You are going to destroy the beautiful old neighborhoods in the name of housing shortage as the issued has not...,You are going to destroy the beautiful old neighborhoods in the name of housing shortage as the issued has not been addressed. You have many many areas in this city to proceed with high density without going after the old neighborhoods. [personal information removed]. You are attempting to destroy a way of life. Thanks a lot.,-0.8208,-0.0638
33,4,4,Conditional / Nuanced,unclear,False,"I think the proposed rezoning is great, but think the City should go one step further by up zoning properties...","I think the proposed rezoning is great, but think the City should go one step further by up zoning properties on Main Streets and near transportation nodes.",0.5143,0.0768
34,4,6,Support – Environmental & Sustainability,support,False,Cities cannot sprawl indefinitely.,"Cities cannot sprawl indefinitely. This stretches services thin, makes them cost prohibitive and increases ghg footprint . Calgary does not need new communities. There is very little choice of small single family units eg in my neighborhood dozens of duplexes are being built and they’re all similar floor plan and 2000 sqft.City needs to stand firm against developers.",0.754,0.5804
35,4,1,Strong Opposition – Community Character,oppose,True,There is a 4+ storey rezoning planned for Vandoos villas and Vandoos gardens.,"There is a 4+ storey rezoning planned for Vandoos villas and Vandoos gardens. I think this is a terrible idea due to poor road access to the area. With only one way out the intersection at varsity dr and 48th st is already a nightmare. Adding a high rise building in that area would have hundreds of people driving on local roads where children play every day. I would support rezoning for higher density in that area, up to 3 stories.",-0.8679,0.0868
36,4,1,Strong Opposition – Community Character,oppose,False,I specifically chose the area in which I live in Varsity due to its lack of high density housing.,I specifically chose the area in which I live in Varsity due to its lack of high density housing. Any increase in current volume of people are going to cause the current traffic issues to worsen. I do not want to live in an area with high density housing and I do not want the current benefits of my neighborhood to change.,-0.6803,0.2786
37,4,1,Strong Opposition – Community Character,oppose,False,The density allowed under r-cg is an absurd amount for most single family dwelling designed communities.,The density allowed under r-cg is an absurd amount for most single family dwelling designed communities. This needs to be looked at more thoughtfully of preserving some of the beauty this type of community life it gives to so many calgarys residents,-0.5756,-0.0731
38,4,1,Strong Opposition – Community Character,oppose,False,So what is the point of having local area plants then!?,"So what is the point of having local area plants then!? This rezoning allows builders to dictate what our neighborhoods evolve to... and their goal is of course to make money. The average person looking to buy an existing older home in many ""inner city"" neighborhoods cannot afford it because the builders are willing/able to pay big dollars and then put million plus dollar homes on the lot or row homes on the lot. This does not seem to be a solution to the problem- just a knee jerk reaction.",-0.7174,-0.0998
39,4,1,Strong Opposition – Community Character,oppose,False,Please keep the high density and infills to the inner city.,"Please keep the high density and infills to the inner city. Those of us living on the outskirts chose to trade off of longer commute times to have more space. This wouldn’t be so much of an issue if the conservative government hadn’t run a full campaign encouraging people to move here because “we have yards”. Ironic that if rezoning happens, those yards would largely disappear.",-0.5357,-0.068
40,4,1,Strong Opposition – Community Character,oppose,False,I disagree with the aggressive and excessive changes you are proposing to established neighborhoods and communities.,I disagree with the aggressive and excessive changes you are proposing to established neighborhoods and communities. Like the monstrosity proposed for Glenmore Landing. Or when you try to rezoning bungalows in the inner city area that are at heart of communities not even on main streets like you have attempted to do in Richmond Knobhills. All this changes and pressures make me wonder if this is really on the benefit of Calgarians or link to the RealEstate background and connections of the Mayor,-0.6584,0.0899
41,5,1,Strong Opposition – Community Character,oppose,False,I do not support the rezoning program.,I do not support the rezoning program. You are destroying the character of neighborhoods. I will be complaining to my councilor. If this is implemented ill be voting for new leadership in the next city election.,-0.8368,-0.0352
42,5,5,Support – Housing Affordability & Supply,support,False,We need this.,We need this. Housing is a big problem and rezoning to allow townhouses and low rise apartments throughout the city is an easy first step. A diversity of building types means I can hope I won't be priced out of my neighborhood.,0.529,-0.0799
43,5,5,Support – Housing Affordability & Supply,support,True,I live in a neighbourhood that is predominately single detached houses and support the re-zoning absolutely.,I live in a neighbourhood that is predominately single detached houses and support the re-zoning absolutely. This is very necessary to solve the current housing crisis. Don't let the NIMBY contingent stop it!,0.6616,0.106
44,5,1,Strong Opposition – Community Character,oppose,False,"When you allow single family houses to come down and build multi-family homes you reduce the amount of parking, area...","When you allow single family houses to come down and build multi-family homes you reduce the amount of parking, area for garbage cans and green space around a home. You allow this one lot at a time till the entire street has been transformed to no parking, no greenspace and no where for garbage cans or even bikes. When you allow for multi-homes in the suburbs, you require adequate parking, greenspace, garbage and storage for bikes. You are changing existing communities for the worse, not better",-0.5068,-0.0022
45,5,1,Strong Opposition – Community Character,oppose,False,I do not support the blanket conversion of single family home neighborhoods to R-CG designation.,I do not support the blanket conversion of single family home neighborhoods to R-CG designation.,-0.7186,0.0202
46,5,1,Strong Opposition – Community Character,oppose,True,We live in Queensland and have been in our home for37 years.,We live in Queensland and have been in our home for37 years. We have paid taxes for all those years to protect and hopefully enhance our neighbourhoods! This city administration pushes its long time responsible residents to their limits! We want to live peacefully in our established neighborhoods and we have sacrificed and worked hard to live in our home and this neighborhood! Let us live in peace without tuning our area into a high density living space!,-0.5998,0.1072
47,5,5,Support – Housing Affordability & Supply,support,False,Amazing step in the right direction.,Amazing step in the right direction. Simply want these changes to happen faster! Providing a variety of housing units within neighbourhoods (especially inner city ones) allows more to be able to live in the neighbourhoods of choice. Would want to see more apartments and mid to low rise towers come into the picture as well. Especially near big intersections and potential future transit streetcar lines.,0.6828,-0.0713
48,5,5,Support – Housing Affordability & Supply,support,False,Just want to say that I fully support this rezoning and can't wait to see more dense community development!,Just want to say that I fully support this rezoning and can't wait to see more dense community development! This all looks fantastic and will really help me (a future teacher) make sure I can stay in Calgary and grow my family here. Thank you for this wonderful proposal - keep this up!,0.8584,0.0957
49,5,6,Support – Environmental & Sustainability,support,False,This is not dense enough.,"This is not dense enough. I live on Centre Street. I live very close to where the future Green line is proposed. I am laughing at the fact that we are proposing a zoning uplift to RC-G here. Banff Trail should have towers adjacent to a station not RC-G. We're talking about less than 100m from transit stations for crying out loud. Upzone every Transit oriented, transit adjacent and transit proximity area to much higher densities! We are in a housing crisis and need cheaper and more abundant homes",0.8972,0.5464
50,5,4,Conditional / Nuanced,unclear,False,"Why no auto rezoning to allow for small apartments under 4 stories for example at intersections and along corridors, as...","Why no auto rezoning to allow for small apartments under 4 stories for example at intersections and along corridors, as Edmonton just successfully passed? Duplexes and townhouses are a step but apartments are truly needed for people with low incomes, students, temporary workers, and more.",0.6344,0.2069
51,5,4,Conditional / Nuanced,unclear,False,The differences between types of housing is not clear enough and does not include detail about the current vs proposed...,"The differences between types of housing is not clear enough and does not include detail about the current vs proposed state, even with the PDFs you have provided. You need to include more and better",0.5912,0.2638
52,5,7,Other / Unclear,unclear,False,photos and descriptions of the types explaining the current vs proposed rezoning.,"photos and descriptions of the types explaining the current vs proposed rezoning. They all look too similar (e.g. rowhouse vs townhouse, RG vs HGO, difference between RC2 and RCG, etc.)",-0.062,-0.1354
53,6,3,Opposition – Infrastructure & Services,oppose,False,"There needs to be more in-depth information about the impacts of rezoning on infrastructure such as roads, schools, congestion, available...","There needs to be more in-depth information about the impacts of rezoning on infrastructure such as roads, schools, congestion, available services and impacts on business on your site. I need to know more about the examples you have studied and the short and long term outcomes. I also need to know that the city will support funding for additional infrastructure.",-0.0181,0.7208
54,6,5,Support – Housing Affordability & Supply,support,False,FINALLY!,"FINALLY! Oh my goodness, I am SO excited for this rezoning proposal. Stay strong, you folks. You know this is the right thing to do. Weather the NIMBY storm and get this done. For the benefit of a strong, diverse, resilient Calgary, godspeed!",0.748,0.1327
55,6,3,Opposition – Infrastructure & Services,oppose,False,We live in Renfrew.,"We live in Renfrew. Appropriate infills in side streets are single family, duplexes & row houses. Continue condos along Edmonton Trail. It is not appropriate along 12th Ave and or 6th Street. The schools supporting Renfrew are full. The French Immersion school is a lottery next year. Daycares have waiting lists. The Renfrew City pool, swimming lessons are full.",-0.2851,0.6353
56,6,4,Conditional / Nuanced,unclear,False,Increase density in inner city neighbourhoods that have low school populations and low City facility usage to save those facilities.,Increase density in inner city neighbourhoods that have low school populations and low City facility usage to save those facilities.,0.4667,0.184
57,6,1,Strong Opposition – Community Character,oppose,False,Blanket rezoning strikes me as lazy and unwilling to entertain nuance or community concern.,Blanket rezoning strikes me as lazy and unwilling to entertain nuance or community concern.,-0.7253,-0.0003
58,6,4,Conditional / Nuanced,unclear,False,This isn't good enough.,This isn't good enough. No sfh along transit corridors.,0.607,0.1234
59,6,1,Strong Opposition – Community Character,oppose,False,Concerning.,Concerning. Blanket rezoning is an ineffective band-aid that'll destroy communities. It must not be allowed.,-0.7013,0.1634
60,6,6,Support – Environmental & Sustainability,support,False,I do not want more density.,"I do not want more density. I don't want to live in a shoebox or a 15 minute city. This is Canada, not some 3rd world [removed]. Stop immigration and the house problem will solve itself.",0.5965,0.5063
61,6,1,Strong Opposition – Community Character,oppose,True,Absolutely do NOT rezone existing areas.,"Absolutely do NOT rezone existing areas. I purchased my home based on its current zone. You have no right to change that and affect the biggest investment of my life. Stop ruining our city - we do not want to be denser. Stop! Stop approving every single development - quality of life in this city has gone down the [emoved] because of over-development and over-population (and a terrible city council). I wonder if citizens can sue the city, for breach of contract, if you change our zone.",-0.8183,-0.149
62,6,1,Strong Opposition – Community Character,oppose,False,I live in the SouthWest at the corner of [personal information removed].,"I live in the SouthWest at the corner of [personal information removed]. This neighborhood is primarily single family homes. I think this zoning plan ISNT ENOUGH. It needs to be denser and look to buildings like the nearby Brookfield development on Broadcast Ave. We should particularly rezone areas around the train stations to better accommodate population. The Sirrocco station is a prime example of what NOT to do. It lacks density and ease of access for commuters. Instead, it is a car lot.",-0.6236,-0.1452
63,6,1,Strong Opposition – Community Character,oppose,False,Some of us bought single-family homes and are (over) taxed accordingly because we like the lifestyle and community.,"Some of us bought single-family homes and are (over) taxed accordingly because we like the lifestyle and community. This is nothing more than a revenue grab by the city and payback to developers for their campaign contributions. There is no ""housing crisis"", it is manufactured by open-door immigration. Put the brakes on that until the infrastructure is available, problem solved. Shame on council for thinking we all want to live in row houses.",-0.5438,0.0004
64,7,3,Opposition – Infrastructure & Services,oppose,False,I notice for R-CG zones that parking is 0.5 spots per unit.,"I notice for R-CG zones that parking is 0.5 spots per unit. So that means if in a four-plex there would only be two parking spots, so if the occupants have two cars each then six cars will be parked on the street which will mean that on street parking will be very limited. This is very concerning as I live on a quiet street with no problems for myself or visitors to park on the street but this will no longer be the case. There should be at least 1.0 parking spots per unit, preferably 1.5 or 2.",0.274,0.5837
65,7,1,Strong Opposition – Community Character,oppose,False,I feel Council and Administration are 'selling out' established communities that are predominately single family homes so the city could...,I feel Council and Administration are 'selling out' established communities that are predominately single family homes so the city could receive funding from the Feds. Those communities can be the ones with the highest property taxes. So will their taxes decrease with more density? Also will the city actually listen to feedback or is this just an exercise to put on a show that the citizens were 'consulted'.,-0.4861,-0.1564
66,7,5,Support – Housing Affordability & Supply,support,False,Yes.,Yes. There are missed opportunities for higher density along 50th Ave SW between Macleod Tr and Elbow Drive SW and also along Elbow Drive from 4 Street SW south to Anderson Rd SW.,0.6353,0.0888
67,7,4,Conditional / Nuanced,unclear,False,Do not blanket re-zone the entire city.,Do not blanket re-zone the entire city. Start with developing empty city owned land first. Why are you not looking to remediate West-Village? This area could support tens of thousands of people! Please start remediating this land instead of ignoring the problem year after year!,0.6095,0.0483
68,7,1,Strong Opposition – Community Character,oppose,False,Denser is better.,"Denser is better. The city should permit high rises within a wide radius of major transit (LRT, bus hubs) is located. Low rises should be permitted everywhere. Build up not out!",-0.5311,0.071
69,7,5,Support – Housing Affordability & Supply,support,False,"Calgary already has a lot of unused or underused land within its city limits, so that should be tackled first.","Calgary already has a lot of unused or underused land within its city limits, so that should be tackled first. I vehemently oppose the blanket rezoning that would allow a neighbor to tear down their home and replace it with 4, 6, 8, 10 suites/apartments, so that they can be resold or rented out at exorbitant prices. This will not sold any housing crisis.",0.834,0.1355
70,7,5,Support – Housing Affordability & Supply,support,False,The housing crisis will not be solved by blanket rezoning.,"The housing crisis will not be solved by blanket rezoning. Home buyers choose neighbourhoods based on various factors, including lack of high rises, green space, as well as fewer cars. Calgary identify those affordable neighborhoods where blanket zoning makes sense and allows neighborhoods to retain their sense of identity where appropriate. A free for all is not the right answer particularly as other factors play into housing such as access to supplies, labour as well as interest rates.",0.6562,-0.0126
71,7,1,Strong Opposition – Community Character,oppose,False,I believe that these efforts should not be done as a blanket and that they should continue to be done...,I believe that these efforts should not be done as a blanket and that they should continue to be done community by community. Blanket rezoning is a foolish and shortshighted tactic that cannot be undone. Investigation on each community must be undertaken individually.,-0.7998,0.0235
72,7,6,Support – Environmental & Sustainability,support,False,I'm all for densification!,"I'm all for densification! I used to live in Montreal and the walkability is one of the things I miss the most -- would be great if Calgary can become a bit more ""walkable"".",0.727,0.7924
73,7,5,Support – Housing Affordability & Supply,support,False,This is a great step in the right direction.,"This is a great step in the right direction. If anything, I would ask for more density particularly near transit lines. More small businesses with residences above (ie. more mixed use buildings) would be great to see.",0.5767,0.0884
74,7,5,Support – Housing Affordability & Supply,support,False,Base rezoning does not automatically result in changes to housing affordability or changes to the types of housing that is...,"Base rezoning does not automatically result in changes to housing affordability or changes to the types of housing that is built in a neighbourhood. This approach recklessly reduces builder oversight, introduces potential system exploits by removing a fulsome permit/appeal process, and increases their ability to make a profit at the expense of Calgarians and communities seeking ground-level housing.",0.4617,0.0025
75,8,5,Support – Housing Affordability & Supply,support,False,Would the City plan to roll out the up-zoning to R-CG (assuming it is approved by Council) in a phased...,"Would the City plan to roll out the up-zoning to R-CG (assuming it is approved by Council) in a phased approach? For instance, first phase could include R-C2 communities, then R-2, then R-C1 then R-1. Many R-C2 communities already undergoing many land use changes, whereas I doubt that the R-C1 or R-1 districts have as many occurring.",0.7813,0.1489
76,8,5,Support – Housing Affordability & Supply,support,False,Thumbs up for upzoning!,Thumbs up for upzoning! Please also consider allowing small commercial/corner stores in neighborhoods.,0.8238,0.0447
77,8,5,Support – Housing Affordability & Supply,support,False,I support this change.,"I support this change. I own my own home in Capitol Hill, and they changes made in this neighbourhood has already added new life to the area.",0.6159,0.1049
78,8,3,Opposition – Infrastructure & Services,oppose,False,Aboslutely NOT.,"Aboslutely NOT. The whole secondary suites issue has imploded here in Martindale. Houses now have 3, 4 & 5 vehicles for all the residents living within 1 unit! Street parking is for everyone - good answer from people who have houses w/ garages to park inside. Our community of single residences is becoming over-run with rental units crammed with renters who don't care one iota about respect. For those of us proud home owners who built their house new & still live here, we are being shafted.",0.062,0.609
79,8,5,Support – Housing Affordability & Supply,support,False,I think we should be allowing more density and allowing small businesses to operate throughout communities.,I think we should be allowing more density and allowing small businesses to operate throughout communities.,0.566,0.186
80,8,5,Support – Housing Affordability & Supply,support,False,Please pass The City of Calgary's Housing Strategy in full.,Please pass The City of Calgary's Housing Strategy in full. It is needed to help chip away at the unaffordable cost of housing in the city and help ensure a bright future for the next generation of Calgarians.,0.6605,0.134
81,8,1,Strong Opposition – Community Character,oppose,False,I am very happy to see the city working towards better use of existing spaces rather than continually adding new...,I am very happy to see the city working towards better use of existing spaces rather than continually adding new low-density communities. The city is already spread much farther than it should be and too often the new developments are destroying wetlands and other biodiverse areas.,-0.4971,0.0731
82,8,4,Conditional / Nuanced,unclear,False,This is not enough.,"This is not enough. Particularly around train lines, housing density should be much higher to fit the purposes of demand and transit use. Look at other countries with developed mass transit: housing surrounding transit lines are deliberately zoned to be much higher density. Also, allowing for investors to come in and develop rent-exclusive properties is significantly driving up ownership cost. Mechanisms should be in place to limit investors from scooping up supply and driving up housing costs.",0.4344,0.5083
83,8,4,Conditional / Nuanced,unclear,False,Why do planners think zoning is the magic bullet?,Why do planners think zoning is the magic bullet? All that’s happening in my hood is people turning secondary suites into AirBnbs. Calgary needs housing cooperatives like in Vancouver. The city should build on top of the city hall parkade because it was designed for that. Calgary needs public housing or housing on leased land. Use your imagination a bit more! Just densifying is not gonna cut it. Have more than planners in the room ok?,0.4292,0.2145
84,8,3,Opposition – Infrastructure & Services,oppose,False,I am not supportive of rezoning without an infrastructure plan.,I am not supportive of rezoning without an infrastructure plan. All the neighborhood schools for the Chinook area impacted by the Chinook development are closed campuses. Where are all these children going to go to school? Development can only occur in an organized fashion. It cannot occur because city council has decided that it Hass to happen without any planning. I will be 100% supportive of rezoning when the city proposes plans for education for kids who will be living in these neighborhoods,-0.0866,0.7279
85,8,1,Strong Opposition – Community Character,oppose,False,Blanket rezoning is a ridiculous idea.,"Blanket rezoning is a ridiculous idea. Maintain most communities as single family residential - higher density needs to be focused on areas where it is most beneficial, such as closer to downtown or other commercial areas. Studies and planning should go into whether an area can sustain increased density",-0.6358,0.0623
86,8,4,Conditional / Nuanced,unclear,False,and consideration should be made on the impact of existing households in the area before approval - not a blanket...,and consideration should be made on the impact of existing households in the area before approval - not a blanket scattershot approach.,0.5435,0.1885
87,9,3,Opposition – Infrastructure & Services,oppose,False,I am generally in support of this rezoning but I do not think it goes far enough.,"I am generally in support of this rezoning but I do not think it goes far enough. I think we should get rid of default zoning by use entirely. There are too many rules - arcane and inane - that prevent housing from being built. We need to think outside the box and allow people to use land in whatever way makes sense. For example, don't dictate by zoning where someone can open a food establishment, or a corner store, or community space. No more zoning, eliminate parking minimums,",-0.2072,0.5859
88,9,3,Opposition – Infrastructure & Services,oppose,False,Calgary does not have a competent council willing to make tough or informed decisions for long term benefit (unless it...,Calgary does not have a competent council willing to make tough or informed decisions for long term benefit (unless it benefits CSEC). Admin can only push so much when 15 incompetent people with misplaced interests drive any positive change that can happen. And because of that we are stuck severely lacking the proper infrastructure that a good or great city needs.,0.0276,0.477
89,9,4,Conditional / Nuanced,unclear,False,I feel there needs to be some height restrictions.,I feel there needs to be some height restrictions. I am concerned this is too broad of an approach.,0.5045,0.3229
90,9,4,Conditional / Nuanced,unclear,False,Rent cap instead of creating tons of expensive infill in inner city,Rent cap instead of creating tons of expensive infill in inner city,0.2806,0.3122
91,9,2,Strong Opposition – Process & Democracy,oppose,False,Interesting to see Mount Royal is excluded - It appears just the lower income areas of the city are to...,"Interesting to see Mount Royal is excluded - It appears just the lower income areas of the city are to be rezoned. Not a big fan of the proposed changes, it appears that Administration/City Counsel just make this stuff up and believe they can make it work somehow.",-0.3735,-0.578
92,9,5,Support – Housing Affordability & Supply,support,False,I support the new housing strategy and it's intention to change zoning districts in the city to allow for more...,I support the new housing strategy and it's intention to change zoning districts in the city to allow for more housing choice and density.,0.8044,0.0446
93,9,1,Strong Opposition – Community Character,oppose,False,The reason for this is policy failure by federal and provincial governments without strategic planning for housing.,The reason for this is policy failure by federal and provincial governments without strategic planning for housing.,-0.7394,0.0628
94,9,1,Strong Opposition – Community Character,oppose,False,I lived in high density and the noise polution from too many close antisocial people was horrible on mental health.,I lived in high density and the noise polution from too many close antisocial people was horrible on mental health. I chose to buy a single family home in my area to get away from this which included going without things to afford it.,-0.5914,-0.0693
95,9,1,Strong Opposition – Community Character,oppose,False,The issue in part is greedy people with multiple rental homes and airbnb.,The issue in part is greedy people with multiple rental homes and airbnb.,-0.602,0.1218
